category,question,right_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
География,С какой из перечисленных стран Россия имеет сухопутную границу?,Польша,Чехия,Киргизия,Афганистан
География,Столица Малайзии — ... .,Куала-Лумпур,Пхеньян,Мамадыш,Джакарта
География,Какое государство самое маленькое в мире по населению?,Ватикан,Монако,Науру,Сан-Марино
География,Какая приземная температура по Цельсию была зафиксирована как самая высокая на Земле?,57°C,72°C,49°C,65°C
География,Столица Индонезии — ... .,Джакарта,Лондон,Манила,Тегусигальпа
География,Столицей какой страны является город Любляна?,Словения,Словакия,Лихтенштейн,Босния и Герцеговина
География,В какой стране была изобретена бумага?,Китай,Индия,Япония,Египет
География,"Какое государство так мало, единственный железнодорожный вокзал которого был построен в скале?",Монако,Люксембург,Лихтенштейн,Андорра
География,В каком городе Англии расположен футбольный стадион Сент-Джеймс Парк?,Ньюкасл-апон-тайн,Лондон,Манчестер,Ливерпуль
География,Второй страной по численности населения в 2015 году является ... .,Индия,Америка,Азербайджан,Россия
География,"Какой пролив соединяет два моря, два океана и разделяет два полуострова, два материка, две части света и два государства?",Берингов,Гудзонов,Гибралтарский,Дрейка
Здоровье,Как по-другому называется лодыжка?,Щиколотка,Ключица,Плюсна,Лопатка
Здоровье,Без какого органа человек не может жить?,Сердце,Глаз,Легкое,Поджелудочная железа
Здоровье,Какую телепередачу ведет Елена Малышева?,Жить здорово!,Поле чудес,Выжить любой ценой,Модный приговор
Здоровье,Детскую прогерию по-другому называют ... .,Синдром Гетчинсона-Гилфорда,Синдром Вернера,Синдром Рейно,Синдром Жильбера
Здоровье,Какого вида волос не существует?,Короткие,Длинные,Щетинистые,Пушковые
Здоровье,Что из перечисленного является медленно прогрессирующим хроническим неврологическим заболеванием?,Болезнь Паркинсона,Болезнь Лайма,Болезнь Крона,Болезнь Бехтерева
Здоровье,Частью какой мыщцы является медиальная головка?,Трицепс,Бицепс,Квадрицепс,Широчайшая мыщца спины
Здоровье,Что не является рудиментом?,Волосяной покров,Аппендикс,Копчик,Эпикантус
Здоровье,"Как называется патологическое состояние, развивающееся у водолазов?",Кессоная болезнь,Эритроцитоз,Акваланговая болезнь,Плеторическая болезнь
Здоровье,Как по-другому называется двуглавая мышца плеча?,Бицепс,Трицепс,Дельты,Альфы
Здоровье,В здоровом теле — здоровый ... .,Дух,Слух,Нюх,Мозг
Здоровье,Сколько аминокислот входит в состав природных белков?,20,13,22,17
Знаменитости,Кто в 2005 году получил награду Visionary Teen Choice Awards?,Гвен Стефани,Лейтон Мистер,Майли Сайрус,Кэти Пэрри
Знаменитости,На ком женился Дэвид Бекхэм в 1999?,Виктория,Ирина,Антонелле,Ванесса
Знаменитости,"Кто в 2013 году выпустил альбом ""The 20/20 Experience""?",Джастин Тимберлейк,Джастин Бибер,Рианна,Валерий Сюткин
Знаменитости,"Какой украинский футболист снялся в первом сезоне реалити-шоу ""Холостяк""?",Евгений Левченко,Анатолий Тимощук,Андрей Шевченко,Александр Шовковский
Знаменитости,Чье лицо стало самым покупаемым в 2008 году?,Анджелина Джоли,Дженнифер Энистон,Хит Леджер,Хайди Монтаг
Знаменитости,Сколько родных сестер у Ким Кардашьян?,2,1,0,4
Знаменитости,За роль в каком фильме получила известность Эмма Уотсон?,Гарри Поттер,Сумерки,Ной,Три метра над уровнем неба
Знаменитости,Чье настоящее имя было Маргарета?,Мата Хари,Мерилин Монро,Коко Шанель,Вивьен Ли
Знаменитости,Название какого насекомого является одним из прозвищ Лионеля Месси?,Блоха,Пчела,Шмель,Клоп
Знаменитости,Как зовут первого сына Лионеля Месси?,Тьяго,Франклин,Бенджамин,Серхио
Знаменитости,Сколько биологических детей у Анжелины Джоли?,3,2,5,6
Знаменитости,В какой компании НЕ работал Стив Джобс?,Microsoft,NeXT ,Pixar,Apple
Игры,"Как зовут главного героя игры ""Fahrenheit""?",Лукас Кейн,Джон Уинстон,Итан Марс,Скотт Шелби
Игры,В каком году вышла World of Warcraft?,2004,2005,2007,2003
Игры,Кто изобрел настольный футбол?,Люсьен Розангартан,Джек Лондон,Андо Момофуку,Ласло Биро
Игры,Какая комбинация принесет больше всего очков в покере?,Флеш-рояль,Стрит-флеш,Каре,Фулл-хаус
Игры,Какой пистолет выдается по умолчанию контр-террористам в Counter-Strike 1.6?,USP,Glock-18,Desert Eagle,Dual Elites
Игры,"Когда вышла первая игра серии ""Mario""?",1983,1975,1991,1988
Игры,Кто является финальным боссом игры Diablo 3: Reaper of Souls?,Малтаэль,Диабло,Азмодан,Белиал
Игры,Как называются японские шахматы?,Сёги,Сянци,Чанги,Рэндзю
Игры,Какая масть является самой старшей при игре в преферанс?,Червы,Пики,Бубны,Трефы
Игры,Главным героем какой игры является Эцио Аудиторе?,Assassin's creed,Mirror's Age,Prince of Persia,Prototype
Игры,В каком году вышла последняя часть трилогии Mass Effect?,2012,2011,2013,2010
Игры,Что НЕ является продуктом Blizzard?,Counter-Strike: Global Offensive,Hearthstone: Heroes of Warcraft,StarCraft II,Warcraft III: The Frozen Throne
История,В каких годах проходила Война во Вьетнаме?,1957—1975,1939—1945,1905—1907,1905—1907
История,Где и когда состоялась первая в истории международная конференция по ограничению вооружений?,В Гааге в 1899 г.,В Генуе в 1882 г.,В Москве в 1898 г.,В Париже в 1899 г.
История,Кем является Джон Рокфеллер?,американский предприниматель,знаменитый музыкант,"путешественник
",древний философ
История,Первый император Рима — ... .,Октавиан Август,Клемент,Тиберий,Калигула
История,Какой город посетил Николай II в мае 1912 года?,Гагра,Санкт-Петербург,Мурманск,Сочи
История,"Древнейшее произведение русской литературы, текст которого дошел до нас в полном виде — ... .",«Слово о Законе и Благодати»,«Русская правда»,«Житие преподобного Феодосия Печерского»,«Повесть временных лет»
История,В каком году началось серийное производство советского танка Т-34?,1940,1939,1941,1942
История,Какой язык был родным у Наполеона?,Итальянский,Английский,Французский,Испанский
История,Какой император перенес столицу Российской Империи из Санкт-Петербурга в Москву?,Петр II,Павел I,Иван VI,Петр III
История,В каком году прошла Зимняя Олимпиада в Ванкувере?,2010,Не проходила,1980,2002
История,В каком году умер Петр 1?,1725,1816,1714,1700
История,Как звали последнего представителя династии Рюриковичей на престоле?,Федор,Владимир,Олег,Иван
,,,,,
Кинематограф,Самый кассовый фильм 2009 года — ... .,Аватар,Гарри Поттер и Принц-полукровка,2012,Терминатор: Да придёт спаситель
Кинематограф,"Кто сыграл Джека Воробья в ""Пиратах карибского моря""?",Джонни Депп,Фёдор Бондарчук,Роберт Дауни младший,Дэниэл Редклифф
Кинематограф,"Режиссёр фильма ""Начало"" (2010) — ... .",Кристофер Нолан,Майкл Бей,Джеймс Кэмерон,Стенли Кубрик
Кинематограф,"В каком году была 1-ая церемония награждения премии ""Оскар""?",1929,1935,1941,1920
Кинематограф,В каком фильме снялся Малкольм МакДауэлл?,Заводной апельсин,Лицо со шрамом,Бегущий по лезвию,Челюсти
Кинематограф,"Кто является обладателем премии ""Оскар""-2015 за лучшую режиссуру?",Алехандро Гонсалес Иньярриту,Беннетт Миллер,Уэс Андерсон,Мортен Тильдум
Кинематограф,Режисером какого из фильмов был Роберт Родригес?,Дети шпионов,Человек-паук,Мстители,Астрал
Кинематограф,"Какой комик немого кино является создателем фильма ""Шерлок Младший""?",Бастер Китон,Чарли Чаплин,Гарольд Ллойд,Оливер Харди
Кинематограф,"Как называется кинопремия, вручаемая в США?",Сатурн,Юпитер,Марс,Нептун
Кинематограф,Кто сыграл роль Гвен Стейси в фильме Новый Человек-паук?,Эмма Стоун,Эмма Уотсон,Кира Найтли,Джессика Альба
Кинематограф,В каком году состоялся показ первого фильма со звуком в Париже?,1900,1905,1920,1907
Кинематограф,Над каким фильмом НЕ работал Гай Ричи?,Начало,Большой куш,Рок-н-рольщик,"Карты, деньги, два ствола"
Кулинария,Какой из этих напитков является скотчем (шотландским виски)?,Johnnie Walker,Old Bushmills Distillery,Jack Daniel’s,Jim Beam
Кулинария,Народное украинское блюдо — ... .,Капустняк,Болоньезе,Бешбармак,Кныш
Кулинария,Кто изобрел лапшу быстрого приготовления?,Андо Момофуку,Джет Ли,Харуки Мураками,Саммо Хунг
Кулинария,Какое блюдо представляет собой сыросодержащий десерт от творожной запеканки до пирожного суфле?,Чизкейк,Тирамису,Савоярди,Сабайон
Кулинария,"По легенде в честь жены какого короля был назван рецепт пиццы ""Маргарита""?",Умберто I,Людовик XIII,Ричард I,Вильгельм IV
Кулинария,"Как называется лепёшка, которую нужно съесть на седере еврейского праздника Песах?",Маца,Лаваш,Баннок,Шельпек
Кулинария,Национальным блюдом какой кухни является эчпочмак?,Татарской,Арабской,Индийской,Вьетнамской
Кулинария,Какое блюдо относится ко греческой кухне?,Паститсио,Хамон,Песто,Галантин
Кулинария,"Как называется итальянский десерт, приготавливаемый на основе сыра маскарпоне?",Тирамису,Панна котта,Сабайон,Савоярди
Кулинария,Что содержит классический напиток Куба Либре?,"Ром, кола и лайм","Водка, кола","Ром, апельсиновый сок","Ром, водка и лайм"
Кулинария,"Кто в 1972 году запустил коммерческий проект ""шаурма""?",Кадыр Нурман,Альберт Хофман,Билл Гейтс,Ахмед Шверм
Кулинария,Что из перечисленного НЕ является видом рода Кофе?,Коджальский кофе,Аравийский кофе,Бенгальский кофе,Конголезский кофе
Культура и искусство,Кто из перечисленных художников НЕ работал в направлении постимпрессионизм?,Клод Лоррен,Винсент ван Гог,Жорж-Пьер Сёра,Анри Руссо
Культура и искусство,"Один из авторов картины ""Утро в сосновом лесу"" — ... .",Иван Шишкин,Иван Айвазовский,Илья Репин,Леонардо да Винчи
Культура и искусство,Как зовут архитектора Пизанской башни?,Бонано Пизано,Леонардо да Винчи,Френк Ллойд Райт,Чарльз Макинтош
Культура и искусство,Первая картина Айвазовского — ... .,Этюд воздуха над морем,Девятый вал,Взрыв корабля,Хождение по водам
Культура и искусство,"Какой художник написал картину ""Крик""?",Ван Гог,Казимир Малевич,Илья Репин,Жан Жигу
Культура и искусство,"Кто является автором картины ""Девочка на шаре""?",Пабло Пикассо,Казимир Малевич,Клод Мане,Эдуард Мане
Культура и искусство,"В каком году был открыт памятник ""Медный Всадник""?",1782,1761,1801,1825
Культура и искусство,Что не является техникой монументальной живописи?,Монотипия,Фреска,А секко,Витраж
Культура и искусство,Какая танцовщица является родоначальницей пластического балета?,Айседора Дункан,Майя Плисецкая,Анна Павлова,Галина Уланова
Культура и искусство,Автором какой из этих картин не является Сальвадор Дали?,Сын человеческий,Великий мастурбатор,Постоянство памяти,Слоны
Культура и искусство,В каком году прошел первый музыкальный фестиваль Вудсток?,1969,1979,1959,1973
Культура и искусство,"Кто написал картину ""Черный суперматический квадрат""?",Казимир Малевич,Иван Крамской,Исаак Левитан,Василий Поленов
Литература,Кем был Грегор Замза из повести Франца Кафки до превращения?,Коммивояжёром,Столяром,Землемером,Учителем
Литература,"Кто главный герой произведения Достоевского ""Преступление и наказание""?",Родион Раскольников,Дуня Раскольникова,Соня Мармеладова,Пётр Лужин
Литература,"Кто написал исторический роман ""Капитанская дочка""?",Александр Пушкин,Лев Толстой,Николай Стариков,Михаил Лермонтов
Литература,Первая печатная на Руси книга называется ... .,Апостол,Истинное слово,Сборник Клоца,Мариинское евангелие
Литература,"Сколько лет было старухе процентщице, которую убил Раскольников?",около 60,42,под 80,55 с хвостиком
Литература,Лауреат Нобелевской премии по литературе — ... .,Иван Бунин,Александр Пушкин,Федор Достоевский,Марина Цветаева
Литература,"Автор трилогии ""Золотой компас""?",Филип Пулман,Стивен Кинг,Джоан Роулинг,Аллан Эдгар По
Литература,Кто из этих писателей писал на английском языке?,Кадзуо Исигуро,Хулио Кортасар,Франц Кафка,Альбер Камю
Литература,"Какой из перечисленных циклов НЕ принадлежит ""перу"" Конан Дойла?",Цикл об адвокате Перри Мэйсоне,Цикл о профессоре Челенджере,Цикл о капитане Шарки,Цикл о бригадире Жераре
Литература,Кто по мнению Рождественского Р.И. лучше второго художника?,Первый маляр,Первый художник,Второй маляр,Маляр-художник
Литература,"Как звали любимого кота Элли в романе Стивена Кинга ""Кладбище домашних животных""?",Уинстон Черчилль,Далай Лама,Мик Джаггер ,Уильям Шекспир
Литература,"Какой ответ на главный вопрос жизни, Вселенной и всего остального в книге Дугласа Адамса ""Автостопом по галактике""?",42,13,Любовь,Самосовершенствование
Музыка,Какой самый древний зафиксированный учёными музыкальный инструмент?,"Флейта
",Аккордеон,Бонго,Бубен
Музыка,Как зовут солиста группы ЛЮБЭ?,Николай Расторгуев,Николай Басков,Дмитрий Рязнов,Федор Панкратов
Музыка,Солистом какой группы является Честер Беннингтон?,Linkin Park,Браво,Dead by April,Бурановские бабушки
Музыка,С кем Eminem записал песню My Dad's Gone Crazy?,С дочкой,С другом,С женой,Один
Музыка,Какой клип Майкла Джексона был признан самым длинным в книге рекордов Гиннеса?,Ghosts,Thriller,Beat it,Remember the time
Музыка,Кто из этих композиторов родился в 1685 году?,Иоганн Себастьян Бах,Вольфганг Амадей Моцарт,Фредерик Франсуа Шопен,Вильгельм Рихард Вагнер
Музыка,Вокалисткой какой группы является Шарон ден Адель?,Within Temptation,Xandria,Nighwish,Epica
Музыка,"Про кого Бетховен говорил ""не Ручей, а Море ему имя""?",Бах,Моцарт,Мендельсон,Вивальди
Музыка,Первый альбом Depeche mode назывался ... .,Speak & Spell,Construction Time Again,Songs of Faith and Devotion,Some Great Reward
Музыка,Солистом какой группы является Адам Левин?,Maroon 5,Beatles,Rammstein,Корни
Музыка,Какой музыкант сжёг гитару на концерте в 1967 году?,Джимми Хендрикс,Брайан Мэй,Курт Кобейн,Джон Леннон
Музыка,Как звали лидера группы Нирвана (Nirvana)?,Курт Дональд Кобейн,Джон Уинстон Леннон,Сэр Джеймс Пол Маккартни,Сэр Майкл Филипп Джаггер
Наука,Как называется квалификационная работа на присуждение ученой степени?,Диссертация,Реферат,Квалификационная работа,Декларация
Наука,Формула этилового спирта — ... .,С2H5OH,H2O,Na2CO3,СH3OH
Наука,"Кто был первым человеком, который вышел в открытый космос?",Алексей Леонов,Юрий Гагарин,Светлана Савицкая,Барон Мюнхгаузен
Наука,В каком году Луи де Бернель изготовил первый бриллиант?,1454,1457,1536,1379
Наука,"Как называется умозаключение ""от общего к частному""?",Дедукция,Абдукция,Индукция,Силлогизм
Наука,Какой порядковый номер Лития в таблице Менделеева?,3,2,8,27
Наука,Кто является автором теории относительности?,Альберт Эйнштейн,Исаак Ньютон,Лев Ландау,Никола Тесла
Наука,Какая премия не является наследием Альфреда Нобеля?,Нобелевская премия по экономике,Нобелевская премия по физике,Нобелевская премия по литературе,Нобелевская премия по химии
Наука,"""Королем"" в системе алхимии являлся нынешний сульфур (сера). Кем же тогда была ""Королева""?",Ртуть,Платина,Аурум (золото),Сурьма
Наука,"Как называют теорему о существовании предела у функции, которая «зажата» между двумя другими функциями, имеющими одинаковый предел?",Теорема о двух милиционерах,Теорема о двух математиках,Теорема о двух физиках,Теорема третьей функции
Наука,Чему равно примерное значение ускорения свободного падения на поверхности Земли?,9.8 м/с^2,11.2 м/с^2,3.14 м\с^2,5.6 м\с^2
Наука,Чем станет солнце на следующем этапе своего существования?,Красным гигантом,Белым карликом,Черной дырой,Нейтронной звездой
Новые технологии,В каком году Apple представила часы Apple Watch?,2014,2015,2013,2012
Новые технологии,Кто изобрел компьютерную мышку?,Дуглас Энгельбарт,Стив Джобс,Билл Гейтс,Кристофера Шоулза
Новые технологии,"Кто является разработчиком космического корабля ""Союз""?","РКК ""Энергия""","МКБ ""Факел""","НПО ""Вымпел""",НИИ «Гермес»
Новые технологии,В каком году основана компания Microsoft?,1975,1970,1985,1983
Новые технологии,"Какими языками программирования являются Java, C++?",Машинно-независимые,Машинно-ориентированные,Машинные,Специальные
Новые технологии,Кто впервые стал использовать промышленный конвейер для поточного производства автомобилей?,Генри Форд,Энцо Феррари,Ферруччо Ламборгини,Киитиро Тоёда
Новые технологии,В каком году Windows 7 вышла на свет?,2009,2010,2008,2007
Новые технологии,В каком году была запущена первая веб-камера?,1991,2000,2003,2006
Новые технологии,Когда празднуется Международный день Интернета?,Апрель 4,Декабрь 14,Октябрь 30,Апрель 7
Новые технологии,Кто изобрел язык программирования С?,Деннис Ритчи,Кен Томпсон,Билл Гейтс,Стив Джобс
Новые технологии,В каком году былы запатентована съемка цветного кино?,1899,1920,1895,1903
Новые технологии,"Кого из этих людей называют ""Властелином мира""?",Никола Тесла,Томас Эдисон,Альберт Энштейн,Нильс Бор
Политика,Как зовут седьмого короля Нидерландов?,Виллем-Александр,Филипп,Кристин Лагард,Нородом Сиамони
Политика,Кто не был президентом РФ?,Владимир Жириновский ,Борис Ельцин,Владимир Путин,Дмитрий Медведев
Политика,В каком году произошла Октябрьская революция в России?,1917,1916,1925,1908
Политика,В каком возрасте Джеймс Тафф стал мэром города Дорсет в первый раз?,3,5,7,10
Политика,"В каком городе США в 2011 году проживал единственный житель, который при этом являлся мэром этого же города?",Буфорд,Кливленд,Остин,Хьюстон
Политика,"Как зовут политика, прозванного ""железным канцлером""?",Отто фон Бисмарк,Ангела Меркель,Владимир Путин,Герхард Шрёдер
Политика,Кто изображен на 100-долларовой купюре?,Бенджамин Франклин,Билл Клинтон,Джордж Вашингтон,Джимми Картер
Политика,Кто был 16-м президентом США?,Авраам Линкольн,Джеймс Бьюкенен,Эндрю Джонсон,Франклин Рузвельт
Политика,Какая из этих стран НЕ является государством-участником ООН?,Ватикан,Кирибати,Самоа,Эритрея
Политика,В каком году президентом РФ был избран Д.А.Медведев?,2008,2010,2006,Не был президентом
Политика,Сколько президентов афроамериканского происхождения было в США за период 1789-2015?,1,3,2,7
Политика,Какая настоящая фамилия Иосифа Виссарионовича Сталина?,Джугашвили,Зурабишвили,Ванко,Сараджишвили
Религия,Какой праздник из перечисленных является двунадесятым в православии?,Рождество Христово,Пасха,Праздник святого Николая Чудотворца,Обрезание Господне
Религия,Священная книга мусульман всего мира?,Коран,Библия,Веды,Тора
Религия,Где зародился ислам?,В Древней Аравии,В Древней Греции,В Месопотамии,В Вавилоне
Религия,Как называется первая мечеть в Египте?,Мечеть Амр ибн аль-Аса,Мечеть султана Хасана,Голубая мечеть,Мечеть Мухаммеда Али
Религия,Сколько столпов ислама у шиитов?,5,9,3,6
Религия,Кто основал буддизм?,Будда Шакьямуни,Будда Шетти,Дев Патель,Айшвария Рай
Религия,В каком году произошло Крещение Руси?,988,1018,982,1053
Религия,Какая из этих мечетей находится в Азербайджане?,Садарак,Кул-Шариф,аль-Харам,Чинили
Религия,Как называется католический монастырь в Чехии и Польше?,Костёл,Скит,Лавра,Кирха
Религия,Неверующий человек — это ... .,Атеист,Аметист,Авантюрист,Бунтарь
Религия,Кто крестил Русь?,Владимир Святославич,Святослав Ярославович,Владимир Мономах,Ярослав Мудрый
Религия,Где зародилось Христианство?,Палестина,США,Римская империя,Великая Армения
Спорт,Какой из перечисленных видов спорта не является летним олимпийским?,Кёрлинг,Стрельба,Гандбол,Дзюдо
Спорт,Сколько золотых мячей у Льва Яшина?,1,2,3,5
Спорт,Каким видом спорта занимается Майкл Фелпс?,Плаванием,Настольным теннисом,Пением,Резьбой по дереву
Спорт,"Какая гимнастка получила множественные переломы ноги, но всё же вернулась в большой спорт?",Ляйсан Утяшева,Кабаева Алина,Барсукова Юлия,Сесина Вера
Спорт,Сборная какой страны заняла второе место на чемпионате Европы по футболу 2008 года?,Германия,Россия,Испания,Турция
Спорт,Кто в 2012 году стал 18-кратным олимпийским чемпионом?,Майкл Фелпс,Елена Исинбаева,Усейн Болт,Райан Лохте
Спорт,Сколько титулов чемпиона мира Формулы-1 на счету у Айртона Сенны?,3,1,2,4
Спорт,В каком городе проходили Летние Олимпийские игры в 2000-м году?,Сидней,Атланта,Афины,Пекин
Спорт,Сколько раз за свою карьеру получал золотой мяч Диего Марадона?,Ни разу,2,3,1
Спорт,В каком году прошел знаменитый Стамбульский финал Лиги Чемпионов Милан - Ливерпуль?,2005,1999,2006,1995
Спорт,В каком городе проводился Чемпионат мира по водным видам спорта в 2015 году?,Казань,Вашингтон,Рим,Лондон
Спорт,"Как с японского переводится ""карате""?",Пустая рука,Гибкий путь,Гармония духа,Путь меча
Телевидение,"Кто вел телепрограмму ""Окна"" в 2002-2005 годах?",Дмитрий Нагиев,Ксения Собчак,Валерий Комиссаров,Дмитрий Певцов
Телевидение,"Как звали дочь Доктора Кэла Лайтмана из сериала ""Обмани меня""?",Эмили,Риа,Джиллиан,Кэсси
Телевидение,"Сколько сезонов в телесериале ""Остаться в живых""?",6,7,3,4
Телевидение,"Кто сыграл роль Деймона в сериале ""Дневники вампира""?",Иэн Сомерхолдер,Пол Уэсли,Майкл Тревино,Джозеф Морган
Телевидение,В каком сериале главный персонаж — учитель химии?,Во все тяжкие,Остаться в живых,Американская история ужасов-2,Настоящий детектив
Телевидение,"Сериал, вдохновлённый одноимённым фильмом 1996 года братьев Коэн",Фарго,Игра престолов,Настоящий детектив,Друзья
Телевидение,Кого в сериале Lost сыграл Терри О'Куинн?,Джон Локк,Джек Шепард,Хёрли Рейс,Саид Джара
Телевидение,Кого из животных похитил из зоопарка Альф?,Тигра,Панду,Слона,Варана
Телевидение,"В каком году вышла в эфир пилотная серия ""Секретных материалов"" на телеканале ""FOX""?",1993,1992,1994,1995
Телевидение,"Кто из главных героев сериала ""Теория большого взрыва"" летал в космос?",Говард,Шелдон,Раджеш,Леонард
Телевидение,"Сколько серий в седьмом сезоне сериала ""24 часа""?",24,20,8,13
Телевидение,"Кто из 4-х друзей физиков из сериала ""Теория большого взрыва"" увлекался астронимией?",Раджеш Кутраппали,Говард Воловиц,Шелдон Купер,Леонард Хофстедтер
Флора и фауна,Какое животное обладает иммунитетом на яды смертоносных змей?,Медоед,Медведь,Барсук,Кенгуру
Флора и фауна,Сколько щупалец у спрутовых?,8,10,16,12
Флора и фауна,Какое растение обладает кровоостанавливающим действием?,Подорожник,Лук,Роза,Арбуз
Флора и фауна,Какая птица меняет цвет от изумрудно-зеленого до синего?,Зимородок,Куропатка,Мизомела,Синий дакнис
Флора и фауна,Голова какого насекомого в профиль внешне похожа на голову крокодила?,Суринамская фонарница,Жук-листоед,Богомол,Бахчевая тля
Флора и фауна,Какое из этих растений размножается семенами?,Ель,Хвощ,Ламинария,Кукушкин лён
Флора и фауна,Сколько в среднем часов в сутки спят кошки?,13-14,15-16,17-18,20-21
Флора и фауна,Как называется плод земляники?,Многоорешек,Ягода,Костянка,Крылатка
Флора и фауна,Сколько видов млекопитающих откладывают яйца?,3,13,1,10
Флора и фауна,Лист какого дерева изображен на флаге Канады?,Клен,Никакого,Липа,Дуб
Флора и фауна,Гибискус — это растение семейства ... .,Мальвовые,Бомбаксовые,Стеркулиевые,Бобовые
Флора и фауна,Какое из этих животных НЕ является всеядным?,Волк,Медведь,Шимпанзе,Барсук
Экономика,Как называется процесс процесс всемирной экономической и политической интеграции и унификации?,Глобализация,Милитаризация,Космополитизм,Урбанизация
Экономика,Какая валюта в Чехии?,Крона,Куна,Рупия,Песо
Экономика,"Кто основал компанию ""Standard & Poor's""?",Генри Варнум Пур,Билл Гейтс,Джон Рокфеллер,Роман Абрамович
Экономика,"Как называется форма правления, при которой все граждане участвуют в управлении государством?",Демократия,Аристократия,Тирания,Олигархия
Экономика,"К какой ""школе"" экономики относят Адама Смита? ",Классическая политическая экономия,Марксизм ,Физиократия,Меркантилизм
Экономика,"В каком году начался мировой экономический кризис, названный ""Великой депрессией""?",1929,1939,1991,2008
Экономика,В каком году монеты евро и банкноты были введены в обращение?,2002,1999,2007,2004
Экономика,На монете какой страны изображен Пикачу?,Ниуэ,Новая Зеландия,Нигерия,Пакистан
Экономика,Причиной какого вида безработицы служит технический прогресс?,Структурная,Фрикционная,Циклическая,Сезонная
Экономика,Какое понятие из перечисленных ниже не относится к фазам делового цикла?,Инфляция,Рецессия,Спад,Подъем
Экономика,Какая страна являлась самой богатой в мире в 2014 году?,Катар,США,Россия,Швеция
Экономика,Что из перечисленного относится к функциям центрального банка?,Эмиссия денег,Кредитование населения,Обслуживание счётов фирм,Приём вкладов граждан
